Product Name,Price,Review
Điện Thoại Xiaomi Redmi 9C - Hàng Chính Hãng,2.490.000 ₫,(70)
Điện thoại Xiaomi Redmi Note 9S - Hàng Chính Hãng,4.380.000 ₫,(375)
Điện thoại Xiaomi POCO X3 - Hàng Chính Hãng ,5.090.000 ₫,(168)
Điện thoại Xiaomi Redmi Note 9 Pro - Hàng Chính Hãng,5.350.000 ₫,(307)
Điện Thoại Xiaomi Redmi 9 - Hàng Chính Hãng,3.390.000 ₫,(181)
Pin Sạc Dự Phòng Xiaomi Redmi 20000mAh PB200LMZ Tích Hợp Cổng USB Type - C In Hỗ Trợ Sạc Nhanh 18W - Hàng Chính Hãng,339.000 ₫,(1716)
Camera chống trộm Xiaomi Mi Home 360° 1080P 2019 QDJ4058GL - Hàng Chính Hãng,629.000 ₫,(1613)
Tai Nghe Nhét Tai Mi Basic Xiaomi HSEJ03JY - Hàng Chính Hãng,113.000 ₫,(2178)
Điện thoại Xiaomi POCO M3 - HÀNG CHÍNH HÃNG,3.290.000 ₫,(1)
Vòng Tay Thông Minh Xiaomi Mi Band 5 Hàng Chính Hãng,790.000 ₫,(304)
Điện Thoại Xiaomi POCO X3 NFC (6GB/128GB) - Hàng Chính Hãng,6.090.000 ₫,(4)
Cân Sức Khỏe Xiaomi Thông Minh Mi Smart Scale 2,270.000 ₫,(557)
Máy Lọc Không Khí Xiaomi 3H EU FJY4031GL - Hàng Chính Hãng,3.054.100 ₫,(293)
Pin Sạc Dự Phòng Xiaomi Gen 3 Version 2019 Polymer 10000mAh Tích Hợp Cổng Type-C PLM13ZM - Hàng Chính Hãng,309.000 ₫,(535)
Điện thoại Xiaomi Redmi Note 9 (4GB/128GB) - Hàng chính hãng,4.490.000 ₫,(81)
Mũ Bảo Hiểm Xiaomi Youpin Himo K1 Thoáng Mát Chắc Chắn Kháng Khuẩn Chống Ẩm,499.000 ₫,(37)
Máy Khuếch Tán Tinh Dầu Kiêm Đèn Ngủ Mini USB Xiaomi HL (120ml),278.000 ₫,(705)
Android Tivi Box Xiaomi Mibox S 4K Global Quốc Tế (Android 8.1) - Hàng Chính Hãng,1.318.000 ₫,(822)
Pin Sạc Dự Phòng Xiaomi Redmi 10000mAh PB100 - Hàng Chính Hãng,233.000 ₫,(372)
Ổ Cắm Điện Tích Hợp Sạc USB Xiaomi Mi Power Strip - Hàng Chính Hàng,196.000 ₫,(289)
Đồng Hồ Thông Minh Theo Dõi Vận Động Theo Dõi Sức Khỏe Xiaomi Huami Amazfit GTS - Hàng Chính Hãng,2.090.000 ₫,(268)
Điện Thoại Xiaomi Mi 10T Pro 5G - Hàng Chính Hãng,10.990.000 ₫,(4)
đồng hồ thông minh xiaomi Mibro Air XPAW001 Kết nối Bluetooth 5.0 theo dõi sức khỏe chống nước IP68 hỗ trợ Android iOS,789.000 ₫,(2)
Máy lọc không khí Xiaomi Mi Air Purifier Pro/EU FJY4013GL - Trắng - Hàng Chính Hãng,3.988.900 ₫,(445)
Máy rửa mặt sóng âm Xiaomi inFace,299.000 ₫,(286)
Dây Cáp Sạc Nhanh USB Type-C Xiaomi 1m Cho Android - SJV4109GL - Hàng Chính Hãng,99.000 ₫,(176)
"Robot Hút Bụi, Lau Nhà Thông Minh Xiaomi Mi Robot Vacuum-Mop SKV4093GL - Hàng chính hãng",6.389.000 ₫,(88)
Máy lọc không khí Xiaomi Mi Air Purifier 2C - Hàng chính hãng,1.878.900 ₫,(77)
Cân điện tử thông minh Xiaomi Body Composition Scale 2 - Chính hãng,475.000 ₫,(345)
Đồng Hồ Thông Minh Xiaomi Mibro Air Xpaw001 Kết Nối Bluetooth 5.0 Theo Dõi Sức Khỏe Chống Nước Ip68 Hỗ Trợ Android Ios Hỗ Trợ Nhiều Ngôn Ngữ (Không Phải Haylou Ls05),778.000 ₫,(9)
Đồ Cắt Móng Tay Móng Chân Xiaomi Mijia Bằng Thép Không Gỉ MJZJD001QW,56.000 ₫,(116)
Cây lau nhà Xiaomi 2 trong 1 - Có phun nước Deerma Spray Water Spray Mop - Hàng Chính Hãng,237.700 ₫,(488)
Bộ kích sóng Wifi Xiaomi Mi Repeater Pro bản quốc tế - Hàng chính hãng,290.000 ₫,(55)
Adapter Sạc Nhanh Xiaomi ZMI HA711 USB Type-C 18W - Hàng chính hãng,185.000 ₫,(44)
Vòng Đeo Tay Thông Minh Theo Dõi Vận Động Xiaomi Mi Band 4 - Hàng Chính Hãng,639.000 ₫,(455)
Balo Xiaomi Mi Casual Daypack,129.000 ₫,(326)
"Balo Thời Trang Xiaomi Mi Casual (15"")",188.000 ₫,(623)
Set 3 Đèn Ngủ Cắm Điện Xiaomi Mijia MJYD04YL Cảm Biến Ban Đêm & Tiết Kiệm Năng Lượng (220V),259.000 ₫,(143)
Bàn Chải Đánh Răng Điện Xiaomi SO WHITE（PINJING） EX3,242.000 ₫,(73)
Bàn Ủi Hơi Nước Cầm Tay Xiaomi Zanjia Gt-301W (1200W),547.000 ₫,(320)
"Bơm lốp ô tô xiaomi 70mai midrive TP03 , Bơm lốp đa năng  , Bơm lốp mini - Hàng nhập khẩu",571.040 ₫,(58)
Robot hút bụi lau nhà thông minh Xiaomi Mi Robot Vacuum-Mop P SKV4109GL màu đen - Hàng Chính Hãng,8.145.800 ₫,(35)
Máy Tăm Nước Xiaomi SOOCAS W3,659.000 ₫,(178)
Tông đơ cắt tóc xiaomi Enchen Boost phiên bản mới 2020 hàng chính hãng,199.000 ₫,(157)
Cân Sức Khỏe Xiaomi Thông Minh Mi Smart Scale 2 (NUN4056GL)- Trắng - Hàng chính hãng,288.000 ₫,(137)
Máy cạo râu Xiaomi Enchen BlackStone - Hàng Nhập Khẩu,218.000 ₫,(86)
Lõi Lọc Không Khí Xiaomi Mi Air Purifier Filter (Tím) - Hàng chính hãng,561.700 ₫,(85)
Đồng Hồ Thông Minh Theo Dõi Vận Động Theo Dõi Sức Khỏe Xiaomi Watch Lite - Hàng Chính Hãng,1.690.000 ₫,(8)
